Name,Mass (MJ),Radius (RJ),Period (days),Semi-major axis (AU),Discovery method,Disc. Year,Distance (ly),Host star mass (M☉),Host star temp. (K),Remarks,distance (clean),mass (clean),radius (clean),star mass (clean),star temp (clean),Distance_Radius_Interaction,star_mass_bin
16 Cygni Bb,2.38,0.213,799.5,1.66,radial vel.,1996,69,1.04,5750,,69,2.38,0.213,1.04,5750,14.697,"(-0.00354, 5.905]"
23 Librae b,1.61,0.213,258.18,0.81,radial vel.,1999,85.5,1.07,5736,,85.5,1.61,0.213,1.07,5736,18.2115,"(-0.00354, 5.905]"
47 Ursae Majoris b,2.53,0.213,1078,2.1,radial vel.,1996,45,1.08,5892,Proper name Taphao Thong,45,2.53,0.213,1.08,5892,9.585,"(-0.00354, 5.905]"
51 Pegasi b,0.46,0.213,4.23,0.0527,radial vel.,1995,50.4,1.12,5793,Proper name Dimidium; previously informally named Bellerophon. First exoplanet discovered orbiting a main sequence star.,50.4,0.46,0.213,1.12,5793,10.7352,"(-0.00354, 5.905]"
55 Cancri b,0.8306,0.213,14.65,0.115227,radial vel.,1996,41.1,0.905,5196,Proper name Galileo,41.1,0.8306,0.213,0.905,5196,8.7543,"(-0.00354, 5.905]"
70 Virginis b,7.49,0.213,116.69,0.481,radial vel.,1996,58.4,1.09,5495,,58.4,7.49,0.213,1.09,5495,12.4392,"(-0.00354, 5.905]"
109 Piscium b,6.383,0.213,1075.69,2.14,radial vel.,1999,108.1,1.11,5600,,108.1,6.383,0.213,1.11,5600,23.0253,"(-0.00354, 5.905]"
Gamma Cephei Ab,1.85,0.213,903.3,2.05,radial vel.,1988,44.2,1.4,4744,Proper name Tadmor,44.2,1.85,0.213,1.4,4744,9.4146,"(-0.00354, 5.905]"
Gliese 86 b,4.42,0.213,15.76,0.11,radial vel.,1999,35.2,0.83,5182,,35.2,4.42,0.213,0.83,5182,7.4976,"(-0.00354, 5.905]"
Gliese 876 b,2.2756,0.213,61.12,0.208317,radial vel.,1998,15.2,0.32,3129,,15.2,2.2756,0.213,0.32,3129,3.2376,"(-0.00354, 5.905]"
HD 75289 b,0.49,0.213,3.51,0.05,radial vel.,1999,95,1.29,6117,,95,0.49,0.213,1.29,6117,20.235,"(-0.00354, 5.905]"
HD 89744 b,8.35,0.213,256.78,0.917,radial vel.,1999,126.2,1.86,6291,,126.2,8.35,0.213,1.86,6291,26.8806,"(-0.00354, 5.905]"
HD 130322 b,1.15,0.213,10.71,0.0925,radial vel.,1999,104.1,0.92,5387,Proper name Eiger,104.1,1.15,0.213,0.92,5387,22.1733,"(-0.00354, 5.905]"
HD 168443 b,7.659,0.213,58.11,0.2931,radial vel.,1998,129.4,0.995,5491,,129.4,7.659,0.213,0.995,5491,27.5622,"(-0.00354, 5.905]"
HD 177830 b,1.69,0.213,410.1,1.14,radial vel.,1999,205.1,1.7,4901,,205.1,1.69,0.213,1.7,4901,43.6863,"(-0.00354, 5.905]"
HD 187123 b,0.523,0.213,3.1,0.0426,radial vel.,1998,150.1,1,5830,,150.1,0.523,0.213,1,5830,31.9713,"(-0.00354, 5.905]"
HD 192263 b,0.56,0.213,24.36,0.15,radial vel.,1999,64.1,0.66,4976,Proper name Beirut,64.1,0.56,0.213,0.66,4976,13.6533,"(-0.00354, 5.905]"
HD 195019 b,3.98,0.213,18.2,0.14,radial vel.,1998,123,1.21,5751,,123,3.98,0.213,1.21,5751,26.199,"(-0.00354, 5.905]"
HD 209458 b,0.73,1.39,3.52,0.04707,radial vel.,1999,157.8,1.23,6091,Informally named Osiris,157.8,0.73,1.39,1.23,6091,219.342,"(-0.00354, 5.905]"
HD 210277 b,1.29,0.213,442.19,1.13,radial vel.,1998,69.5,1.01,5538,,69.5,1.29,0.213,1.01,5538,14.8035,"(-0.00354, 5.905]"
HD 217107 b,1.3,0.213,7.13,0.08,radial vel.,1998,65.5,1,5622,,65.5,1.3,0.213,1,5622,13.9515,"(-0.00354, 5.905]"
HD 222582 b,8.37,0.213,572.38,1.34,radial vel.,1999,137.7,1.12,5790,,137.7,8.37,0.213,1.12,5790,29.3301,"(-0.00354, 5.905]"
Iota Horologii b,2.27,0.213,302.8,0.92,radial vel.,1999,56.5,0.96,6167,,56.5,2.27,0.213,0.96,6167,12.0345,"(-0.00354, 5.905]"
Rho Coronae Borealis b,1.045,0.213,39.85,0.2196,radial vel.,1997,57,0.889,5627,Controversial,57,1.045,0.213,0.889,5627,12.141,"(-0.00354, 5.905]"
Tau Boötis b,5.95,0.213,3.31,0.049,radial vel.,1996,51.1,1.34,6400,,51.1,5.95,0.213,1.34,6400,10.8843,"(-0.00354, 5.905]"
Upsilon Andromedae b,0.6876,0.213,4.62,0.059222,radial vel.,1996,43.7,1.3,6183,Proper name Saffar,43.7,0.6876,0.213,1.3,6183,9.3081,"(-0.00354, 5.905]"
Upsilon Andromedae c,1.981,0.213,241.26,0.827774,radial vel.,1999,43.7,1.3,6183,Proper name Samh,43.7,1.981,0.213,1.3,6183,9.3081,"(-0.00354, 5.905]"
Upsilon Andromedae d,4.132,0.213,1276.46,2.51329,radial vel.,1999,43.7,1.3,6183,Proper name Majriti,43.7,4.132,0.213,1.3,6183,9.3081,"(-0.00354, 5.905]"
2MASS J21402931+1625183 b,20.95,0.92,7336.5,0.098,imaging,2009,81.5,0.08,2300,,81.5,20.95,0.92,0.08,2300,74.98,"(-0.00354, 5.905]"
4 Ursae Majoris b,7.1,0.213,269.3,0.87,radial vel.,2006,240,1.23,4415,,240,7.1,0.213,1.23,4415,51.12,"(-0.00354, 5.905]"
6 Lyncis b,2.01,0.213,934.3,2.11,radial vel.,2008,178.5,1.44,4938,,178.5,2.01,0.213,1.44,4938,38.0205,"(-0.00354, 5.905]"
11 Comae Berenices b,19.4,0.213,326.03,1.29,radial vel.,2007,304.5,2.7,4742,,304.5,19.4,0.213,2.7,4742,64.8585,"(-0.00354, 5.905]"
11 Ursae Minoris b,14.74,0.213,516.22,1.53,radial vel.,2009,410.1,2.78,4213,,410.1,14.74,0.213,2.78,4213,87.3513,"(-0.00354, 5.905]"
14 Andromedae b,4.8,0.213,185.84,0.83,radial vel.,2008,246.6,2.2,4813,Proper name Spe,246.6,4.8,0.213,2.2,4813,52.5258,"(-0.00354, 5.905]"
14 Herculis b,4.66,0.213,1773.4,2.93,radial vel.,2002,58.5,0.9,5338,[3] Another suspected planet confirmed in 2021.[4],58.5,4.66,0.213,0.9,5338,12.4605,"(-0.00354, 5.905]"
18 Delphini b,10.3,0.213,993.3,2.6,radial vel.,2008,249.1,2.3,4979,Proper name Arion,249.1,10.3,0.213,2.3,4979,53.0583,"(-0.00354, 5.905]"
23 Librae c,0.82,0.213,5000,5.8,radial vel.,2009,85.5,1.1,5736,,85.5,0.82,0.213,1.1,5736,18.2115,"(-0.00354, 5.905]"
30 Arietis Bb,13.82,0.213,335.1,0.99,radial vel.,2009,145.8,1.93,6331,,145.8,13.82,0.213,1.93,6331,31.0554,"(-0.00354, 5.905]"
41 Lyncis b,2.7,0.213,184.02,0.81,radial vel.,2007,280.2,2.1,4753,Proper name Arkas,280.2,2.7,0.213,2.1,4753,59.6826,"(-0.00354, 5.905]"
42 Draconis b,3.88,0.213,479.1,1.19,radial vel.,2008,296.4,0.98,4200,Proper name Orbitar,296.4,3.88,0.213,0.98,4200,63.1332,"(-0.00354, 5.905]"
47 Ursae Majoris c,0.54,0.213,2391,3.6,radial vel.,2001,45,1.03,5892,Proper name Taphao Kaew,45,0.54,0.213,1.03,5892,9.585,"(-0.00354, 5.905]"
